vennum,name,address1,address2,address3,phonenum,notes1,notes2,addresscity,addressstate,addresszip,faxnum,memo,oldemail,web,email
2555TH,255 5TH LIMITED PARTNE,1382 SOLUTIONS CTR,"CHICAGO, IL 60677-1003",nan,(513) 721-5542,nan,,CHICAGO,IL,60677-1003,nan,nan,,nan,nan
3MDYN,3M          BAC9905,P.O. BOX 371227,"PITTSBURG, PA 15250-7227",nan,(800) 426-8688,nan,,PITTSBURG,PA,15250-7227,nan,nan,,nan,nan
3SINCO,3S Incorporated,8686 SOUTHWEST PARKWAY,"HARRISON, OH 45030",nan,(513) 202-5070,nan,,HARRISON,OH,45030,(513) 367-5678,nan,,nan,nan
A&SELE,A & S ELECTRIC,5 COORDINATOR DR,"ERLANGER, KY 41018-2771",nan,(859) 727-1111,nan,,ERLANGER,KY,41018-2771,nan,nan,,nan,nan
A1ELEC,A-1 ELECTRIC MOTOR SERVICE,1461 DIXIE HIGHWAY,"PARK HILLS, KY 41011",nan,(859) 291-1351,nan,,PARK HILLS,KY,41011,nan,nan,,nan,nan
A1TELE,"A1 TELETRONICS, INC.          ","ST. PETERSBURG, FL 33742-1317",nan,nan,(727) 576-5001,nan,,ST. PETERSBURG,FL,33742-1317,nan,nan,,nan,nan
ABBCAR,ABBOTT CARDS,35 TIOGA WAY,"MARBLEHEAD, MA 01945",nan,(800) 325-2231,nan,,MARBLEHEAD,MA,1945,nan,nan,,nan,nan
ABCELE,ABCON ELECTRIC,"CINCINNATI, OH 45251",nan,nan,(513) 851-7572,nan,,CINCINNATI,OH,45251,nan,nan,,nan,nan
ABNPAI,ABNER PAINTING COMPANY,#VALUE!,nan,nan,(513) 605-0515,nan,,nan,nan,#VALUE!,nan,nan,,nan,nan
ACCTEC,ACCU-TECH CORPORATION,P.O. BOX 840781,"DALLAS, TX 75284-0781",nan,(800) 414-3777,nan,,DALLAS,TX,75284-0781,nan,nan,,nan,nan
